               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  91,            0.028233,           0.0050785,           0.0060655,             0.98664,                   1,               0.995,             0.75177,            0.019145,           0.0032804,          0.00094982,           0.0098213,           0.0098213,           0.0098213
                  92,            0.027866,           0.0051077,            0.005795,             0.98712,                   1,               0.995,             0.78107,            0.018398,           0.0032963,          0.00093433,           0.0098174,           0.0098174,           0.0098174
                  93,             0.02836,           0.0050113,           0.0060593,             0.99389,                   1,               0.995,             0.75493,             0.01906,           0.0032864,          0.00093116,           0.0098133,           0.0098133,           0.0098133
                  94,            0.027618,           0.0050048,           0.0055145,             0.99319,             0.99986,               0.995,             0.77387,            0.019055,            0.003233,          0.00078394,           0.0098093,           0.0098093,           0.0098093
                  95,            0.027361,           0.0049121,           0.0057263,             0.98465,                   1,               0.995,             0.74767,            0.019187,           0.0032044,          0.00090453,           0.0098052,           0.0098052,           0.0098052
                  96,            0.027602,           0.0050144,           0.0054618,             0.99083,                   1,               0.995,             0.74163,            0.019601,           0.0032309,          0.00091429,           0.0098011,           0.0098011,           0.0098011
                  97,            0.027598,           0.0050354,           0.0058588,             0.99028,                   1,               0.995,             0.75619,            0.019614,           0.0032885,          0.00091268,           0.0097969,           0.0097969,           0.0097969
                  98,            0.028112,           0.0051528,           0.0055638,             0.98722,             0.99979,               0.995,             0.76503,            0.019038,           0.0032297,          0.00085377,           0.0097927,           0.0097927,           0.0097927
                  99,            0.027992,           0.0053015,              0.0064,              0.9885,                   1,               0.995,             0.75822,            0.019097,           0.0032608,          0.00089685,           0.0097884,           0.0097884,           0.0097884
                 100,            0.027992,           0.0050258,           0.0060874,             0.98647,             0.99987,               0.995,             0.74332,            0.018944,           0.0032977,           0.0008762,           0.0097841,           0.0097841,           0.0097841
                 101,            0.027623,           0.0051638,           0.0057908,             0.99118,                   1,               0.995,             0.76277,            0.019208,           0.0031812,          0.00087206,           0.0097798,           0.0097798,           0.0097798
                 102,            0.027729,           0.0048827,           0.0054383,             0.99198,                   1,               0.995,             0.75751,            0.019505,           0.0032315,           0.0008713,           0.0097754,           0.0097754,           0.0097754
                 103,            0.027885,           0.0048493,           0.0059529,             0.99165,                   1,               0.995,             0.77061,            0.019637,           0.0032193,          0.00083896,           0.0097709,           0.0097709,           0.0097709
                 104,            0.027554,           0.0049371,           0.0059644,             0.98887,                   1,               0.995,             0.74339,             0.01931,           0.0033282,          0.00082757,           0.0097665,           0.0097665,           0.0097665
                 105,             0.02746,           0.0048975,           0.0059701,             0.98581,             0.99965,               0.995,             0.77206,            0.018752,            0.003294,          0.00089347,           0.0097619,           0.0097619,           0.0097619
                 106,            0.027351,           0.0050347,           0.0058892,             0.98731,             0.99965,               0.995,              0.7558,            0.018622,           0.0032272,          0.00090155,           0.0097574,           0.0097574,           0.0097574
                 107,            0.027313,           0.0050338,           0.0056353,             0.98298,                   1,               0.995,             0.77254,            0.018861,           0.0032024,           0.0009025,           0.0097528,           0.0097528,           0.0097528
                 108,            0.027438,            0.004913,            0.005707,             0.98694,              0.9997,               0.995,             0.73877,            0.019331,           0.0031711,          0.00092122,           0.0097481,           0.0097481,           0.0097481
                 109,            0.027753,           0.0051442,           0.0053364,             0.98979,                   1,               0.995,             0.77855,             0.01839,           0.0032088,          0.00084695,           0.0097435,           0.0097435,           0.0097435
                 110,            0.027913,            0.005114,           0.0053675,             0.98795,                   1,               0.995,             0.77292,            0.018727,           0.0032269,          0.00094265,           0.0097387,           0.0097387,           0.0097387
                 111,            0.027166,           0.0049185,           0.0049698,             0.98649,                   1,               0.995,             0.76693,            0.019244,           0.0032369,          0.00085839,            0.009734,            0.009734,            0.009734
                 112,            0.026747,           0.0050295,           0.0055977,             0.99404,                   1,               0.995,             0.77379,            0.019282,           0.0031814,          0.00099358,           0.0097292,           0.0097292,           0.0097292
                 113,            0.027591,           0.0050128,           0.0057922,             0.99205,                   1,               0.995,             0.77985,            0.018868,           0.0031721,          0.00091402,           0.0097243,           0.0097243,           0.0097243
                 114,            0.027447,            0.005083,           0.0056207,             0.99094,                   1,               0.995,             0.76747,              0.0189,           0.0031463,          0.00094022,           0.0097194,           0.0097194,           0.0097194
